Invariant,Avg,Prior,Ratio,S24,S10,S25,S8,S21,S9,S6,S16,S14,S23,S22,S26,S13,S12,S15,S7,S17,S11,S27
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | Mode_H2M=manual CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human==0 ),0.39983,0.95575,0.41834,0,0,1,0,0,1,0.2931189315,0.1638775055,0.7276256018,0.7412083601,0.4489128956,0,0.3729563466,0,0.7293622881,0.2880483606,0.831675845,1,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine==0 CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ),0.0619,0.14803,0.41819,0,0,0,0,0,0.06982068221,0.1748169609,0.2440117012,0.04483919978,0.02321446903,0.08706433761,0,0.1042625342,0.1381283868,0.03240051806,0.09367379834,0.0893966312,0,0.07455011785
P(EventW_Machine=EventW_Machine==truck detected | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual CurrentThrottle_Machine=CurrentThrottle_Machine==0 Trust_Human=Trust_Human==0 ),0.00354,0.00847,0.41812,0,0,0,0,0,0,0,0,0.01413660033,0,0,0,0,0,0,0,0.05315176807,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine==0 CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human>0 ),0.06176,0.14803,0.4172,0,0,0,0,0,0,0,0.1734182331,0,0,0,0,0,0,1,0,0,0,0
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | Mode_H2M=manual CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==pedestrian detected ),0.39488,0.95575,0.41316,0,0,0.4709532269,0.2839361623,0,1,0.3181035272,0.1403993025,0.8890645495,0.7412083601,0.4489128956,0,0.4422901553,0,0.7822916968,0.2880483606,0.697497859,1,0
P(CurrentThrottle_Machine=CurrentThrottle_Machine>0 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual EventW_Machine=EventW_Machine==false alarm ),0.3707,0.9025,0.41075,1,0,0,0,0,0,0,1,0.6668419651,0.3984014823,0.5226560806,0,1,0,0.6284769766,1,0,0,0.8269728851
P(Mode_H2M=manual | EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ),0.0451,0.14803,0.40968,0.1397734605,0,0,0,0,0.01962361359,0,0.2590778409,0.2529323202,0,0.02769738032,0,0.02503338778,0,0.03351889265,0,0,0,0.09932984468
P(Trust_Human=Trust_Human==0 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ),0.31022,0.765,0.40551,1,0,0,0,0,0,0,0.8941218948,1,0,1,0,1,0,0,0,0,0,1
P(CurrentThrottle_Machine=CurrentThrottle_Machine>0 | Mode_H2M=manual EventW_Machine=EventW_Machine==pedestrian detected ),0.36404,0.9025,0.40336,0,0,0.3731199658,0.05875514427,0,0.8281403617,0.4883689404,0.118602158,0.2001262614,0.7444969633,0.6865057543,0,0.6325556181,1,0,0,0.3540866042,0.5266266323,0.9052930034
P(EventW_Machine=EventW_Machine==  | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual CurrentThrottle_Machine=CurrentThrottle_Machine==0 CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human>0 ),0.36842,0.91767,0.40147,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0
P(CurrentThrottle_Machine=CurrentThrottle_Machine>0 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual EventW_Machine=EventW_Machine==cyclist detected Trust_Human=Trust_Human==0 ),0.36195,0.9025,0.40105,0,0,0,0,0,0.6675302512,0.1683831129,0.8248579223,0.7501478984,0.3062743767,0.9583219374,0,0.791114019,1,0.4035723482,0,0.1798425428,0,0.8269728851
P(Trust_Human=Trust_Human==0 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==false alarm ),0.30571,0.765,0.39962,1,0,0,0,0,0,0,0.8085175848,1,0,1,0,1,0,0,0,0,0,1
P(EventW_Machine=EventW_Machine==cyclist detected | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual CurrentThrottle_Machine=CurrentThrottle_Machine==0 CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ),0.00614,0.01539,0.39884,0,0,0,0,0,0.1166252227,0,0,0,0,0,0,0,0,0,0,0,0,0
P(CurrentBrake_Machine=CurrentBrake_Machine>0 | Mode_H2M=manual CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==cyclist detected Trust_Human=Trust_Human==0 ),0.01752,0.04425,0.396,0,0,0,0,0,0,0,0,0.3329379406,0,0,0,0,0,0,0,0,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine==0 CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==obstacle detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human>0 ),0.05785,0.14803,0.3908,0.4642619555,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1082454548,0,0.5266556574,0,0
P(CurrentThrottle_Machine=CurrentThrottle_Machine>0 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ),0.35112,0.9025,0.38905,0,0,0,0,0,0.8006214589,0.1683831129,0.8248579223,0.7501478984,0.2487524044,0.9475513633,0,0.7859833657,1,0.4035723482,0,0,0,0.7414460391
P(CurrentThrottle_Machine=CurrentThrottle_Machine>0 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ),0.35096,0.9025,0.38887,0,0,0.5434630259,0,0,0.7626094681,0.6693961149,0,0.2501479567,0.5697955663,0.8603148385,0,0.8920459627,0,0,0,0.5938020345,0.5266266323,1
P(CurrentThrottle_Machine=CurrentThrottle_Machine>0 | Mode_H2M=manual EventW_Machine=EventW_Machine==false alarm ),0.34868,0.9025,0.38634,1,0,0,0,0,0,0,0.6532425391,0.6668419651,0.3984014823,0.4509097398,0,1,0,0.6284769766,1,0,0,0.8269728851
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human>0 ),0.19466,0.504,0.38622,0.4285666609,0.224489731,0.0942400935,0.1497277629,0.1207499344,0.1242143459,0.04277815167,0.1200907487,0.2406303957,0.1730182218,0.1053329674,0.5256828916,0.1346695259,0.3334484493,0.08450838113,0.223287196,0.1566550921,0.195381459,0.2209798271
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | Mode_H2M=manual CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==obstacle detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ),0.36842,0.95575,0.38548,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | Mode_H2M=manual CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ),0.36842,0.95575,0.38548,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | Mode_H2M=manual CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==obstacle detected Trust_Human=Trust_Human>0 ),0.36842,0.95575,0.38548,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
P(CurrentThrottle_Machine=CurrentThrottle_Machine>0 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ),0.3447,0.9025,0.38194,0,0,0.3731199658,0,0,0.7626094681,0.3778890647,0,0.5001972367,0.5697955663,0.8603148385,0,0.8920459627,0,0,0,0.6867933944,0.5266266323,1
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==obstacle detected Trust_Human=Trust_Human>0 ),0.19176,0.504,0.38047,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0.3564396133,0,0.2869712703,0,0
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | Mode_H2M=manual CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==false alarm Trust_Human=Trust_Human==0 ),0.35948,0.95575,0.37613,0,0,0,0,0,1,0,0,1,1,0.8301506695,0,0,0,0,0,1,1,1
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | Mode_H2M=manual CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ),0.35606,0.95575,0.37255,0,0,0,0,0,1,0,0,1,1,0.7651689524,0,0,0,0,0,1,1,1
P(CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==obstacle detected ),0.18466,0.496,0.37231,0.8695674255,0,0.1874336139,0,0,0.2320502695,0,0,1,0.5658902469,0.653678424,0,0,0,0,0,0,0,0
P(EventW_Machine=EventW_Machine==cyclist detected | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual CurrentThrottle_Machine=CurrentThrottle_Machine==0 CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ),0.0057,0.01539,0.37028,0,0,0,0,0,0.02620389499,0,0,0,0.02967404187,0,0,0.01720741268,0,0,0,0.0351879434,0,0
P(CurrentThrottle_Machine=CurrentThrottle_Machine>0 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ),0.33347,0.9025,0.3695,1,0,0,0,0,0,0,1,0.7144466966,0,0.6215545012,0,1,0,1,0,0,0,1
P(CurrentThrottle_Machine=CurrentThrottle_Machine>0 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human==0 ),0.3333,0.9025,0.3693,0,0,0.229346945,0,0,0.8281403617,0.3778890647,0,0.5001972367,0.7845899882,0.867891814,0,0.8211304821,0,0,0,0.3968033732,0.5266266323,1
P(CurrentThrottle_Machine=CurrentThrottle_Machine>0 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ),0.32778,0.9025,0.3632,0,0,0.5434630259,0.2724822083,0,0.8426216265,1,1,0,0.8153250962,0.8914452572,0,0.6474238849,0,0,0,0.2151307627,0,0
P(CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==truck detected Trust_Human=Trust_Human>0 ),0.17895,0.496,0.36078,0.4000046723,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
P(Mode_H2M=manual | EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ),0.43088,0.14803,0.36,0,0,0,0,0,1,0,1,0.3472727828,1,1,0,0,0,1,0.4819188395,0.3574559199,1,1
P(EventW_Machine=EventW_Machine==cyclist detected | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual CurrentThrottle_Machine=CurrentThrottle_Machine==0 CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ),0.00553,0.01539,0.35918,0,0,0,0,0,0.1050278532,0,0,0,0,0,0,0,0,0,0,0,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine==0 CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ),0.05263,0.14803,0.35555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ),0.05263,0.14803,0.35555,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ),0.05263,0.14803,0.35555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ),0.05263,0.14803,0.35555,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ),0.05263,0.14803,0.35555,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ),0.05263,0.14803,0.35555,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==truck detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ),0.05263,0.14803,0.35555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==truck detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ),0.05263,0.14803,0.35555,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human>0 ),0.05263,0.14803,0.35555,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ),0.05263,0.14803,0.35555,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ),0.05263,0.14803,0.35555,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human>0 ),0.05263,0.14803,0.35555,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ),0.05263,0.14803,0.35555,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ),0.05263,0.14803,0.35555,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==obstacle detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ),0.05263,0.14803,0.35555,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ),0.05263,0.14803,0.35555,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==truck detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ),0.05263,0.14803,0.35555,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ),0.05263,0.14803,0.35555,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==truck detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ),0.05263,0.14803,0.35555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==obstacle detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ),0.05263,0.14803,0.35555,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ),0.05263,0.14803,0.35555,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==truck detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ),0.05263,0.14803,0.35555,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==obstacle detected ),0.05263,0.14803,0.35555,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==pedestrian detected ),0.05263,0.14803,0.35555,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==truck detected ),0.05263,0.14803,0.35555,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 EventW_Machine=EventW_Machine==obstacle detected ),0.05263,0.14803,0.35555,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine==0 CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==false alarm Trust_Human=Trust_Human>0 ),0.05263,0.14803,0.35555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==cyclist detected Trust_Human=Trust_Human>0 ),0.05263,0.14803,0.35555,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==false alarm Trust_Human=Trust_Human==0 ),0.05263,0.14803,0.35555,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==false alarm Trust_Human=Trust_Human>0 ),0.05263,0.14803,0.35555,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human>0 ),0.05263,0.14803,0.35555,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==cyclist detected Trust_Human=Trust_Human==0 ),0.05263,0.14803,0.35555,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==cyclist detected Trust_Human=Trust_Human>0 ),0.05263,0.14803,0.35555,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==obstacle detected Trust_Human=Trust_Human==0 ),0.05263,0.14803,0.35555,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human==0 ),0.05263,0.14803,0.35555,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==truck detected Trust_Human=Trust_Human==0 ),0.05263,0.14803,0.35555,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
P(EventW_Machine=EventW_Machine==cyclist detected | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual CurrentThrottle_Machine=CurrentThrottle_Machine==0 CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ),0.00536,0.01539,0.34801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1017626853,0,0,0
P(CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human>0 ),0.1715,0.496,0.34577,0,0.2830540794,0.6577966393,0,0,1,0,0.4110069706,0,0.3945934024,0.2740461063,0,0,0.2380012867,0,0,0,0,0
P(Trust_Human=Trust_Human==0 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ),0.26316,0.765,0.344,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0
