
P(Speed_Machine=Speed_Machine<0 | Mode_H2M=autonomous Trust_Human=Trust_Human>0 ) = 0.41660 * 0.06036 / 0.07805 = 0.32216 (74) (A_count=1226)
P(Mode_H2M=autonomous | EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ) = 0.84472 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1843)
P(Mode_H2M=manual | EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ) = 0.15519 * 0.00000 / 0.00642 = 0.00000 (0) (A_count=1037)
P(EventW_Machine=EventW_Machine==pedestrian detected | Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ) = 0.03402 * 0.08219 / 0.25745 = 0.01086 (6) (A_count=73)
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==cyclist detected Trust_Human=Trust_Human<0 ) = 0.57327 * 0.00631 / 0.00362 = 1.00000 (11) (A_count=1744)

P(Trust_Human=Trust_Human==0 | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ) = 0.76504 * 0.02848 / 0.02533 = 0.86038 (65) (A_count=2282)
P(Trust_Human=Trust_Human<0 | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ) = 0.11339 * 0.04967 / 0.02042 = 0.27580 (15) (A_count=302)
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | CurrentBrake_Machine=CurrentBrake_Machine==0 Trust_Human=Trust_Human>0 ) = 0.57327 * 0.08773 / 0.10025 = 0.50166 (153) (A_count=1744)
P(Trust_Human=Trust_Human<0 | CurrentBrake_Machine=CurrentBrake_Machine==0 CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ) = 0.11339 * 0.51987 / 0.57929 = 0.10176 (157) (A_count=302)
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | CurrentBrake_Machine=CurrentBrake_Machine==0 Trust_Human=Trust_Human<0 ) = 0.57327 * 0.09002 / 0.09819 = 0.52560 (157) (A_count=1744)
P(CurrentBrake_Machine=CurrentBrake_Machine>0 | CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human<0 ) = 0.04465 * 0.04545 / 0.05661 = 0.03585 (6) (A_count=132)
P(Trust_Human=Trust_Human>0 | CurrentBrake_Machine=CurrentBrake_Machine==0 CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ) = 0.12122 * 0.44932 / 0.37585 = 0.14492 (133) (A_count=296)
P(CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 | CurrentBrake_Machine=CurrentBrake_Machine>0 Trust_Human=Trust_Human<0 ) = 0.42638 * 0.01320 / 0.00760 = 0.74045 (15) (A_count=1136)
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | CurrentBrake_Machine=CurrentBrake_Machine>0 Trust_Human=Trust_Human>0 ) = 0.57327 * 0.00172 / 0.00362 = 0.27274 (3) (A_count=1744)
P(CurrentBrake_Machine=CurrentBrake_Machine>0 | CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ) = 0.04465 * 0.49242 / 0.49479 = 0.04444 (65) (A_count=132)
P(CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 | CurrentBrake_Machine=CurrentBrake_Machine>0 Trust_Human=Trust_Human==0 ) = 0.42638 * 0.03169 / 0.03489 = 0.38726 (36) (A_count=1136)
P(Trust_Human=Trust_Human<0 | CurrentBrake_Machine=CurrentBrake_Machine==0 CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ) = 0.11339 * 0.41060 / 0.37465 = 0.12427 (124) (A_count=302)
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human>0 ) = 0.95500 * 0.04840 / 0.04861 = 0.95090 (133) (A_count=2748)
P(Trust_Human=Trust_Human>0 | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ) = 0.12122 * 0.01014 / 0.02537 = 0.04842 (3) (A_count=296)
P(CurrentBrake_Machine=CurrentBrake_Machine>0 | CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human>0 ) = 0.04465 * 0.05303 / 0.04861 = 0.04872 (7) (A_count=132)
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human<0 ) = 0.95500 * 0.05713 / 0.05661 = 0.96387 (157) (A_count=2748)
P(CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 | CurrentBrake_Machine=CurrentBrake_Machine==0 Trust_Human=Trust_Human<0 ) = 0.42638 * 0.10915 / 0.09818 = 0.47404 (124) (A_count=1136)
P(Trust_Human=Trust_Human>0 | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ) = 0.12122 * 0.02365 / 0.02021 = 0.14184 (7) (A_count=296)
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ) = 0.95500 * 0.05568 / 0.05419 = 0.98113 (153) (A_count=2748)
P(CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 | CurrentBrake_Machine=CurrentBrake_Machine==0 Trust_Human=Trust_Human==0 ) = 0.42638 * 0.72271 / 0.75547 = 0.40789 (821) (A_count=1136)
P(Trust_Human=Trust_Human<0 | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ) = 0.11339 * 0.01987 / 0.02564 = 0.08786 (6) (A_count=302)
P(CurrentBrake_Machine=CurrentBrake_Machine>0 | CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ) = 0.04465 * 0.11364 / 0.04818 = 0.10531 (15) (A_count=132)
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ) = 0.95500 * 0.04512 / 0.04821 = 0.89392 (124) (A_count=2748)
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ) = 0.95500 * 0.49491 / 0.49479 = 0.95522 (1360) (A_count=2748)
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | CurrentBrake_Machine=CurrentBrake_Machine==0 Trust_Human=Trust_Human==0 ) = 0.57327 * 0.77982 / 0.75545 = 0.59176 (1360) (A_count=1744)
P(CurrentBrake_Machine=CurrentBrake_Machine>0 | CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ) = 0.04465 * 0.02273 / 0.05421 = 0.01872 (3) (A_count=132)
P(CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 | CurrentBrake_Machine=CurrentBrake_Machine==0 Trust_Human=Trust_Human>0 ) = 0.42638 * 0.11708 / 0.10024 = 0.49799 (133) (A_count=1136)
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | CurrentBrake_Machine=CurrentBrake_Machine>0 Trust_Human=Trust_Human==0 ) = 0.57327 * 0.03727 / 0.03489 = 0.61240 (65) (A_count=1744)
P(Trust_Human=Trust_Human==0 | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ) = 0.76504 * 0.01578 / 0.02071 = 0.58268 (36) (A_count=2282)
P(Trust_Human=Trust_Human==0 | CurrentBrake_Machine=CurrentBrake_Machine==0 CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ) = 0.76504 * 0.35977 / 0.37622 = 0.73160 (821) (A_count=2282)
P(Trust_Human=Trust_Human>0 | CurrentBrake_Machine=CurrentBrake_Machine==0 CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ) = 0.12122 * 0.51689 / 0.57857 = 0.10830 (153) (A_count=296)
P(CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 | CurrentBrake_Machine=CurrentBrake_Machine>0 Trust_Human=Trust_Human>0 ) = 0.42638 * 0.00616 / 0.00361 = 0.72698 (7) (A_count=1136)
P(CurrentBrake_Machine=CurrentBrake_Machine>0 | CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ) = 0.04465 * 0.27273 / 0.29760 = 0.04092 (36) (A_count=132)
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ) = 0.95500 * 0.29876 / 0.29759 = 0.95876 (821) (A_count=2748)
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | CurrentBrake_Machine=CurrentBrake_Machine>0 Trust_Human=Trust_Human<0 ) = 0.57327 * 0.00344 / 0.00761 = 0.25927 (6) (A_count=1744)
P(Trust_Human=Trust_Human==0 | CurrentBrake_Machine=CurrentBrake_Machine==0 CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ) = 0.76504 * 0.59597 / 0.57774 = 0.78918 (1360) (A_count=2282)
















P(CurrentBrake_Machine=CurrentBrake_Machine==0 | Mode_H2M=manual EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human<0 ) = 0.95500 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=2748)
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human<0 ) = 0.95500 * 0.00400 / 0.00382 = 1.00000 (11) (A_count=2748)
P(EventW_Machine=EventW_Machine==truck detected | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ) = 0.00864 * 0.05000 / 0.07288 = 0.00593 (1) (A_count=20)
P(Mode_H2M=autonomous | CurrentBrake_Machine=CurrentBrake_Machine==0 EventW_Machine=EventW_Machine==truck detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human<0 ) = 0.84472 * 0.00054 / 0.00046 = 1.00000 (1) (A_count=1843)
P(Trust_Human=Trust_Human<0 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==obstacle detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ) = 0.11339 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=302)
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==cyclist detected Trust_Human=Trust_Human==0 ) = 0.57327 * 0.00573 / 0.00366 = 0.89744 (10) (A_count=1744)
P(Trust_Human=Trust_Human==0 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ) = 0.76504 * 0.28922 / 0.24012 = 0.92146 (660) (A_count=2282)
P(EventW_Machine=EventW_Machine==pedestrian detected | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ) = 0.03402 * 0.00000 / 0.00310 = 0.00000 (0) (A_count=73)
P(EventW_Machine=EventW_Machine==obstacle detected | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ) = 0.01746 * 0.15909 / 0.23837 = 0.01166 (7) (A_count=44)
P(Trust_Human=Trust_Human<0 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ) = 0.11339 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=302)
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 EventW_Machine=EventW_Machine==obstacle detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human>0 ) = 0.15519 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1037)
P(EventW_Machine=EventW_Machine==obstacle detected | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ) = 0.01746 * 0.04545 / 0.04306 = 0.01843 (2) (A_count=44)
P(CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human<0 ) = 0.42638 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1136)
P(Mode_H2M=autonomous | CurrentBrake_Machine=CurrentBrake_Machine==0 EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human<0 ) = 0.84472 * 0.00597 / 0.00504 = 1.00000 (11) (A_count=1843)
P(EventW_Machine=EventW_Machine==false alarm | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ) = 0.00727 * 0.00000 / 0.00208 = 0.00000 (0) (A_count=21)
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==truck detected Trust_Human=Trust_Human>0 ) = 0.57327 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1744)
P(CurrentBrake_Machine=CurrentBrake_Machine>0 | Mode_H2M=manual EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human>0 ) = 0.04465 * 0.00000 / 0.00765 = 0.00000 (0) (A_count=132)
P(EventW_Machine=EventW_Machine==cyclist detected | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ) = 0.01548 * 0.00000 / 0.04299 = 0.00000 (0) (A_count=40)
P(Trust_Human=Trust_Human==0 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual EventW_Machine=EventW_Machine==truck detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ) = 0.76504 * 0.00131 / 0.00101 = 1.00000 (3) (A_count=2282)
P(EventW_Machine=EventW_Machine==false alarm | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human>0 ) = 0.00727 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=21)
P(Trust_Human=Trust_Human>0 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==truck detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ) = 0.12122 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=296)
P(Mode_H2M=autonomous | CurrentBrake_Machine=CurrentBrake_Machine>0 EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ) = 0.84472 * 0.00000 / 0.00135 = 0.00000 (0) (A_count=1843)
P(Mode_H2M=autonomous | CurrentBrake_Machine=CurrentBrake_Machine==0 EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ) = 0.84472 * 0.00760 / 0.00642 = 1.00000 (14) (A_count=1843)
P(EventW_Machine=EventW_Machine==pedestrian detected | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human<0 ) = 0.03402 * 0.01370 / 0.05415 = 0.00861 (1) (A_count=73)
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human>0 ) = 0.15519 * 0.00000 / 0.00321 = 0.00000 (0) (A_count=1037)
P(CurrentBrake_Machine=CurrentBrake_Machine>0 | Mode_H2M=manual EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ) = 0.04465 * 0.43939 / 0.24907 = 0.07877 (58) (A_count=132)
P(EventW_Machine=EventW_Machine==cyclist detected | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ) = 0.01548 * 0.25000 / 0.23856 = 0.01622 (10) (A_count=40)
P(EventW_Machine=EventW_Machine==  | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ) = 0.91677 * 0.00336 / 0.00308 = 1.00000 (9) (A_count=2682)
P(Trust_Human=Trust_Human<0 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ) = 0.11339 * 0.00331 / 0.00072 = 0.52192 (1) (A_count=302)
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ) = 0.95500 * 0.00364 / 0.00348 = 1.00000 (10) (A_count=2748)
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine==0 EventW_Machine=EventW_Machine==obstacle detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ) = 0.15519 * 0.00096 / 0.00519 = 0.02882 (1) (A_count=1037)
P(Mode_H2M=autonomous | CurrentBrake_Machine=CurrentBrake_Machine==0 EventW_Machine=EventW_Machine==obstacle detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ) = 0.84472 * 0.00488 / 0.00517 = 0.79738 (9) (A_count=1843)
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human<0 ) = 0.95500 * 0.05095 / 0.04865 = 1.00000 (140) (A_count=2748)
P(Mode_H2M=autonomous | CurrentBrake_Machine=CurrentBrake_Machine>0 EventW_Machine=EventW_Machine==obstacle detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ) = 0.84472 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1843)
P(CurrentBrake_Machine=CurrentBrake_Machine>0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human<0 ) = 0.04465 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=132)
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ) = 0.15519 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1037)
P(CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==cyclist detected Trust_Human=Trust_Human==0 ) = 0.42638 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1136)
P(Mode_H2M=autonomous | CurrentBrake_Machine=CurrentBrake_Machine>0 EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human<0 ) = 0.84472 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1843)
P(Trust_Human=Trust_Human>0 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ) = 0.12122 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=296)
P(Trust_Human=Trust_Human==0 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ) = 0.76504 * 0.00219 / 0.00168 = 1.00000 (5) (A_count=2282)
P(Trust_Human=Trust_Human==0 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==truck detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ) = 0.76504 * 0.00263 / 0.00240 = 0.83659 (6) (A_count=2282)
P(Mode_H2M=autonomous | CurrentBrake_Machine=CurrentBrake_Machine>0 EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ) = 0.84472 * 0.00163 / 0.00138 = 1.00000 (3) (A_count=1843)
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human<0 ) = 0.95500 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=2748)
P(Mode_H2M=autonomous | CurrentBrake_Machine=CurrentBrake_Machine==0 EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ) = 0.84472 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1843)
P(Mode_H2M=autonomous | CurrentBrake_Machine=CurrentBrake_Machine>0 EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ) = 0.84472 * 0.01465 / 0.01238 = 1.00000 (27) (A_count=1843)
P(Mode_H2M=autonomous | CurrentBrake_Machine=CurrentBrake_Machine==0 EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human>0 ) = 0.84472 * 0.05480 / 0.04959 = 0.93356 (101) (A_count=1843)
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human<0 ) = 0.15519 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1037)
P(EventW_Machine=EventW_Machine==  | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ) = 0.91677 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=2682)
P(CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==truck detected Trust_Human=Trust_Human==0 ) = 0.42638 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1136)
P(CurrentBrake_Machine=CurrentBrake_Machine>0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==obstacle detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human<0 ) = 0.04465 * 0.00000 / 0.00139 = 0.00000 (0) (A_count=132)
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==cyclist detected Trust_Human=Trust_Human<0 ) = 0.57327 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1744)
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine==0 EventW_Machine=EventW_Machine==truck detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ) = 0.15519 * 0.00096 / 0.00244 = 0.06129 (1) (A_count=1037)
P(Mode_H2M=autonomous | CurrentBrake_Machine=CurrentBrake_Machine==0 EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ) = 0.84472 * 0.32664 / 0.30542 = 0.90341 (602) (A_count=1843)
P(Mode_H2M=autonomous | CurrentBrake_Machine=CurrentBrake_Machine>0 EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human<0 ) = 0.84472 * 0.00326 / 0.00275 = 1.00000 (6) (A_count=1843)
